station,valid,lon,lat,tmpc,relh,drct,sknt,sped,mslp
ESNU,2016-12-03 00:20,20.2828,63.7918,-8.00,79.00,330.00,6.00,6.90,null
ESNU,2016-12-03 01:20,20.2828,63.7918,-11.00,85.17,300.00,5.00,5.75,null
ESNU,2016-12-03 02:20,20.2828,63.7918,-10.00,85.28,320.00,5.00,5.75,null
ESNU,2016-12-03 03:20,20.2828,63.7918,-11.00,85.17,300.00,6.00,6.90,null
ESNU,2016-12-03 04:20,20.2828,63.7918,-10.00,85.28,320.00,6.00,6.90,null
ESNU,2016-12-03 05:20,20.2828,63.7918,-9.00,78.84,320.00,6.00,6.90,null
ESNU,2016-12-03 06:20,20.2828,63.7918,-11.00,85.17,320.00,5.00,5.75,null
ESNU,2016-12-03 07:20,20.2828,63.7918,-9.00,78.84,320.00,8.00,9.20,null
ESNU,2016-12-03 08:20,20.2828,63.7918,-9.00,85.40,330.00,6.00,6.90,null
ESNU,2016-12-03 09:20,20.2828,63.7918,-10.00,85.28,310.00,5.00,5.75,null
ESNU,2016-12-03 10:20,20.2828,63.7918,-9.00,85.40,330.00,6.00,6.90,null
ESNU,2016-12-03 11:20,20.2828,63.7918,-9.00,85.40,320.00,7.00,8.05,null
ESNU,2016-12-03 12:20,20.2828,63.7918,-9.00,78.84,320.00,5.00,5.75,null
ESNU,2016-12-03 13:20,20.2828,63.7918,-11.00,85.17,320.00,6.00,6.90,null
ESNU,2016-12-03 14:20,20.2828,63.7918,-11.00,85.17,330.00,6.00,6.90,null
ESNU,2016-12-03 15:20,20.2828,63.7918,-11.00,85.17,310.00,6.00,6.90,null
ESNU,2016-12-03 16:20,20.2828,63.7918,-11.00,85.17,330.00,5.00,5.75,null
ESNU,2016-12-03 17:20,20.2828,63.7918,-12.00,85.05,330.00,5.00,5.75,null
ESNU,2016-12-03 18:20,20.2828,63.7918,-12.00,85.05,320.00,5.00,5.75,null
ESNU,2016-12-03 19:20,20.2828,63.7918,-13.00,84.93,310.00,4.00,4.60,null
ESNU,2016-12-03 20:20,20.2828,63.7918,-13.00,92.19,330.00,5.00,5.75,null
ESNU,2016-12-03 21:20,20.2828,63.7918,-14.00,92.12,320.00,4.00,4.60,null
ESNU,2016-12-03 22:20,20.2828,63.7918,-14.00,92.12,340.00,5.00,5.75,null
ESNU,2016-12-03 23:20,20.2828,63.7918,-14.00,92.12,340.00,4.00,4.60,null
