Station_name,Station_code,Height,Lat,Long,Date,Hour,Air Temp C,P (hPa),RH (%),Wind Direction DegC,Wind Speed (m/s)
Stockholm Arlanda,97400,42.0,59.6269,17.9545,2016-12-03,00:00:00,-6.0,1015.8,91,260,1.0
Stockholm Arlanda,97401,42.0,59.6269,17.9545,2016-12-03,01:00:00,-7.3,1015.9,95,250,1.0
Stockholm Arlanda,97402,42.0,59.6269,17.9545,2016-12-03,02:00:00,-8.2,1015.8,95,250,1.0
Stockholm Arlanda,97403,42.0,59.6269,17.9545,2016-12-03,03:00:00,-8.0,1015.6,93,220,1.0
Stockholm Arlanda,97404,42.0,59.6269,17.9545,2016-12-03,04:00:00,-6.5,1015.7,94,0,0.0
Stockholm Arlanda,97405,42.0,59.6269,17.9545,2016-12-03,05:00:00,-5.5,1015.7,93,280,2.0
Stockholm Arlanda,97406,42.0,59.6269,17.9545,2016-12-03,06:00:00,-4.1,1016.1,89,300,1.0
Stockholm Arlanda,97407,42.0,59.6269,17.9545,2016-12-03,07:00:00,-4.5,1016.5,91,330,1.0
Stockholm Arlanda,97408,42.0,59.6269,17.9545,2016-12-03,08:00:00,-4.6,1017.0,93,290,1.0
Stockholm Arlanda,97409,42.0,59.6269,17.9545,2016-12-03,09:00:00,-3.4,1017.7,89,300,1.0
Stockholm Arlanda,97410,42.0,59.6269,17.9545,2016-12-03,10:00:00,-2.8,1018.1,88,320,2.0
Stockholm Arlanda,97411,42.0,59.6269,17.9545,2016-12-03,11:00:00,-2.9,1018.6,89,290,2.0
Stockholm Arlanda,97412,42.0,59.6269,17.9545,2016-12-03,12:00:00,-2.6,1019.1,86,270,2.0
Stockholm Arlanda,97413,42.0,59.6269,17.9545,2016-12-03,13:00:00,-2.6,1019.4,86,310,2.0
Stockholm Arlanda,97414,42.0,59.6269,17.9545,2016-12-03,14:00:00,-3.7,1019.9,91,290,1.0
Stockholm Arlanda,97415,42.0,59.6269,17.9545,2016-12-03,15:00:00,-5.9,1020.5,96,280,1.0
Stockholm Arlanda,97416,42.0,59.6269,17.9545,2016-12-03,16:00:00,-6.9,1020.9,95,290,1.0
Stockholm Arlanda,97417,42.0,59.6269,17.9545,2016-12-03,17:00:00,-6.7,1021.3,94,330,1.0
Stockholm Arlanda,97418,42.0,59.6269,17.9545,2016-12-03,18:00:00,-6.5,1021.6,94,350,2.0
Stockholm Arlanda,97419,42.0,59.6269,17.9545,2016-12-03,19:00:00,-7.3,1022.2,95,0,0.0
Stockholm Arlanda,97420,42.0,59.6269,17.9545,2016-12-03,20:00:00,-8.4,1022.5,95,0,0.0
Stockholm Arlanda,97421,42.0,59.6269,17.9545,2016-12-03,21:00:00,-9.1,1022.6,93,360,1.0
Stockholm Arlanda,97422,42.0,59.6269,17.9545,2016-12-03,22:00:00,-10.0,1022.9,92,0,0.0
Stockholm Arlanda,97423,42.0,59.6269,17.9545,2016-12-03,23:00:00,-10.0,1023.1,92,0,0.0
Stockholm Arlanda,97424,42.0,59.6269,17.9545,2016-12-04,00:00:00,-9.4,1023.0,92,0,0.0
