Station_name,Station_code,Height,Lat,Long,Date,Hour,Air Temp C,P (hPa),RH (%),Wind Direction DegC,Wind Speed (m/s)
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-03,00:00:00,-4.7,1015.7,87,310,4.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-03,01:00:00,-5.5,1015.9,88,310,3.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-03,02:00:00,-6.0,1016.3,90,320,2.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-03,03:00:00,-6.6,1016.7,90,320,5.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-03,04:00:00,-7.0,1017.2,92,320,3.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-03,05:00:00,-7.3,1017.6,91,310,4.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-03,06:00:00,-7.1,1017.8,92,320,4.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-03,07:00:00,-7.8,1018.7,92,330,4.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-03,08:00:00,-7.7,1019.2,90,320,5.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-03,09:00:00,-7.4,1019.8,89,310,3.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-03,10:00:00,-6.9,1020.2,86,310,4.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-03,11:00:00,-6.5,1020.4,83,310,3.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-03,12:00:00,-6.3,1020.6,84,320,3.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-03,13:00:00,-6.8,1020.6,85,310,3.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-03,14:00:00,-7.5,1020.8,87,310,4.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-03,15:00:00,-8.4,1021.4,90,310,3.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-03,16:00:00,-9.0,1021.7,91,300,3.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-03,17:00:00,-9.6,1022.0,90,310,2.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-03,18:00:00,-10.0,1022.2,89,320,4.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-03,19:00:00,-10.4,1022.1,89,300,2.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-03,20:00:00,-10.7,1022.1,88,310,3.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-03,21:00:00,-10.7,1022.0,87,320,3.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-03,22:00:00,-10.7,1021.8,87,310,2.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-03,23:00:00,-10.9,1021.6,87,300,2.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-04,00:00:00,-10.5,1020.9,88,300,1.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-04,01:00:00,-10.0,1020.5,87,320,2.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-04,02:00:00,-9.5,1019.8,87,310,1.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-04,03:00:00,-8.8,1018.8,90,300,1.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-04,04:00:00,-8.1,1017.9,93,310,1.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-04,05:00:00,-7.4,1017.0,93,350,1.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-04,06:00:00,-6.8,1016.1,93,280,1.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-04,07:00:00,-6.2,1015.2,93,0,0.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-04,08:00:00,-6.1,1014.5,93,0,0.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-04,09:00:00,-5.5,1013.8,93,320,1.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-04,10:00:00,-5.7,1013.1,92,0,0.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-04,11:00:00,-5.0,1011.8,92,330,1.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-04,12:00:00,-4.7,1010.6,91,310,1.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-04,13:00:00,-4.7,1009.3,92,0,0.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-04,14:00:00,-4.1,1007.8,93,0,0.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-04,15:00:00,-3.8,1006.4,93,330,1.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-04,16:00:00,-4.7,1005.0,95,350,1.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-04,17:00:00,-4.3,1004.0,98,0,0.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-04,18:00:00,-3.8,1003.8,98,90,1.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-04,19:00:00,1.7,1002.9,88,230,1.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-04,20:00:00,6.7,1002.4,71,270,4.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-04,21:00:00,7.1,1001.7,69,260,5.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-04,22:00:00,7.4,1000.8,68,260,5.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-04,23:00:00,7.5,1000.0,67,260,5.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-05,00:00:00,8.0,999.3,64,250,5.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-05,01:00:00,8.6,999.1,64,280,7.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-05,02:00:00,6.7,999.4,78,280,6.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-05,03:00:00,6.4,999.4,76,280,6.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-05,04:00:00,6.5,1000.5,66,300,6.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-05,05:00:00,5.9,1001.5,61,290,6.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-05,06:00:00,5.3,1002.4,59,300,5.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-05,07:00:00,4.5,1003.2,62,310,7.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-05,08:00:00,4.4,1004.2,61,310,8.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-05,09:00:00,4.2,1004.9,62,310,8.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-05,10:00:00,4.3,1006.3,61,320,8.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-05,11:00:00,4.3,1007.1,59,310,7.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-05,12:00:00,4.1,1008.3,61,300,5.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-05,13:00:00,3.5,1009.2,62,310,4.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-05,14:00:00,2.9,1009.9,66,290,4.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-05,15:00:00,2.9,1010.6,67,300,5.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-05,16:00:00,2.2,1011.6,67,310,4.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-05,17:00:00,1.7,1012.4,68,300,4.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-05,18:00:00,1.0,1013.2,71,310,4.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-05,19:00:00,0.2,1014.1,74,320,3.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-05,20:00:00,0.8,1015.0,71,320,5.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-05,21:00:00,0.7,1016.0,72,320,5.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-05,22:00:00,0.1,1016.9,74,320,4.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-05,23:00:00,0.0,1018.0,73,320,5.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-06,00:00:00,-0.1,1019.0,73,310,4.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-06,01:00:00,-1.2,1020.2,77,310,2.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-06,02:00:00,-1.3,1021.1,78,310,3.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-06,03:00:00,-2.9,1022.1,86,330,1.0
Sundsvalls Flygplats,127310,4.0,62.5246,17.4410,2016-12-06,04:00:00,-3.0,1022.9,87,270,1.0
