Station_name,Station_code,Height,Lat,Long,Date,Hour,Air Temp C,P (hPa),RH (%),Wind Direction DegC,Wind Speed (m/s)
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-03,00:00:00,-7.4,1014.5,74,320,3.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-03,01:00:00,-9.7,1014.8,83,310,2.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-03,02:00:00,-10.4,1015.0,86,310,3.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-03,03:00:00,-10.7,1015.1,85,310,3.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-03,04:00:00,-10.0,1015.5,83,320,2.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-03,05:00:00,-8.6,1016.1,80,330,3.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-03,06:00:00,-8.9,1016.7,81,310,1.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-03,07:00:00,-9.4,1017.1,86,320,4.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-03,08:00:00,-9.4,1017.6,86,330,4.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-03,09:00:00,-10.1,1018.2,87,310,2.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-03,10:00:00,-9.0,1018.8,85,320,3.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-03,11:00:00,-8.8,1019.2,83,320,4.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-03,12:00:00,-9.1,1019.5,80,320,3.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-03,13:00:00,-10.7,1019.7,82,320,3.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-03,14:00:00,-10.8,1020.1,84,300,3.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-03,15:00:00,-11.4,1020.6,86,310,3.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-03,16:00:00,-11.2,1020.8,85,320,3.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-03,17:00:00,-11.8,1021.1,86,320,3.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-03,18:00:00,-12.4,1021.1,88,310,3.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-03,19:00:00,-12.3,1021.3,87,330,1.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-03,20:00:00,-12.6,1021.2,89,330,2.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-03,21:00:00,-13.8,1021.2,88,330,2.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-03,22:00:00,-13.5,1021.3,87,340,2.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-03,23:00:00,-13.8,1021.0,86,330,2.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-04,00:00:00,-13.7,1020.7,86,320,1.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-04,01:00:00,-13.8,1020.4,86,330,1.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-04,02:00:00,-14.8,1019.9,89,0,0.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-04,03:00:00,-14.2,1018.9,90,0,0.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-04,04:00:00,-13.5,1018.0,91,300,1.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-04,05:00:00,-12.3,1016.5,88,0,0.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-04,06:00:00,-11.6,1015.3,89,320,1.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-04,07:00:00,-10.1,1013.6,92,0,0.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-04,08:00:00,-7.5,1012.0,96,180,1.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-04,09:00:00,-0.1,1010.5,99,200,6.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-04,10:00:00,-1.1,1008.9,99,210,6.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-04,11:00:00,-0.8,1007.3,99,210,5.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-04,12:00:00,-1.1,1005.7,96,210,4.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-04,13:00:00,-0.9,1004.3,96,210,3.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-04,14:00:00,-0.2,1002.0,99,200,3.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-04,15:00:00,0.4,1000.4,98,210,4.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-04,16:00:00,0.5,998.9,98,220,4.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-04,17:00:00,0.2,997.6,99,200,2.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-04,18:00:00,0.0,997.1,99,210,2.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-04,19:00:00,0.0,996.2,99,180,2.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-04,20:00:00,1.0,995.6,99,200,3.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-04,21:00:00,1.2,994.4,97,180,2.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-04,22:00:00,1.8,993.4,99,140,2.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-04,23:00:00,3.9,992.4,93,230,3.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-05,00:00:00,4.3,991.2,89,240,4.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-05,01:00:00,5.8,991.1,73,290,8.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-05,02:00:00,5.1,992.5,74,320,8.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-05,03:00:00,4.0,994.2,75,320,8.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-05,04:00:00,2.2,995.3,79,300,4.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-05,05:00:00,2.4,996.0,78,300,6.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-05,06:00:00,3.2,996.8,69,320,8.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-05,07:00:00,2.7,998.3,66,320,7.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-05,08:00:00,2.6,999.9,64,320,7.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-05,09:00:00,2.2,1000.8,64,320,7.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-05,10:00:00,1.8,1002.0,68,310,6.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-05,11:00:00,1.3,1002.8,69,320,5.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-05,12:00:00,1.5,1004.3,67,330,5.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-05,13:00:00,0.1,1005.4,77,340,3.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-05,14:00:00,-1.9,1006.7,87,60,2.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-05,15:00:00,-2.3,1007.6,87,90,1.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-05,16:00:00,-2.6,1008.7,83,50,2.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-05,17:00:00,-3.3,1010.0,81,50,3.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-05,18:00:00,-3.7,1011.3,80,20,3.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-05,19:00:00,-4.1,1012.8,80,30,3.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-05,20:00:00,-4.5,1014.2,84,360,3.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-05,21:00:00,-4.8,1015.5,82,350,5.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-05,22:00:00,-5.7,1017.0,83,330,5.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-05,23:00:00,-6.2,1018.2,83,340,4.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-06,00:00:00,-6.9,1019.0,84,340,4.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-06,01:00:00,-7.6,1020.4,86,330,4.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-06,02:00:00,-9.3,1021.6,90,330,3.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-06,03:00:00,-9.6,1022.4,90,330,2.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-06,04:00:00,-11.4,1022.8,93,350,1.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-06,05:00:00,-12.1,1023.2,95,0,0.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-06,06:00:00,-13.2,1023.5,95,300,1.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-06,07:00:00,-15.3,1024.2,90,0,0.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-06,08:00:00,-15.5,1024.8,90,0,0.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-06,09:00:00,-15.5,1024.8,89,230,1.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-06,10:00:00,-13.5,1024.7,91,0,0.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-06,11:00:00,-11.8,1024.4,92,0,0.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-06,12:00:00,-11.2,1024.2,92,110,1.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-06,13:00:00,-11.2,1023.5,93,120,1.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-06,14:00:00,-11.7,1023.0,95,100,1.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-06,15:00:00,-10.0,1022.5,95,200,1.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-06,16:00:00,-10.7,1022.0,93,160,1.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-06,17:00:00,-9.0,1021.2,95,130,3.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-06,18:00:00,-7.1,1020.2,95,160,2.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-06,19:00:00,-5.2,1018.9,93,200,2.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-06,20:00:00,-3.8,1017.9,92,160,1.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-06,21:00:00,-1.9,1016.7,89,220,3.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-06,22:00:00,-1.1,1015.7,88,240,4.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-06,23:00:00,-0.6,1014.7,87,0,0.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-07,00:00:00,0.8,1013.5,84,240,3.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-07,01:00:00,0.9,1013.0,84,230,2.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-07,02:00:00,2.3,1012.2,80,240,5.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-07,03:00:00,2.1,1011.7,79,220,3.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-07,04:00:00,1.3,1011.5,82,150,2.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-07,05:00:00,2.2,1010.6,80,250,3.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-07,06:00:00,2.2,1010.2,77,260,3.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-07,07:00:00,2.7,1009.2,75,260,3.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-07,08:00:00,3.5,1008.1,74,260,6.0
Umea Flygplats,140480,14.0,63.7947,20.2918,2016-12-07,09:00:00,3.3,1007.4,76,270,6.0
