Station_name,Station_code,Height,Lat,Long,Date,Hour,Air Temp C,P (hPa),RH (%),Wind Direction DegC,Wind Speed (m/s)
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-03,00:00:00,-4.8,1016.2,83,290,2.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-03,01:00:00,-4.7,1016.1,82,290,3.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-03,02:00:00,-5.4,1016.0,86,310,2.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-03,03:00:00,-7.3,1015.9,92,250,1.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-03,04:00:00,-5.7,1015.9,92,200,1.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-03,05:00:00,-3.5,1016.2,89,300,3.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-03,06:00:00,-3.0,1016.5,86,310,2.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-03,07:00:00,-4.1,1016.7,88,310,2.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-03,08:00:00,-4.6,1017.4,88,310,3.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-03,09:00:00,-4.8,1018.1,91,300,3.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-03,10:00:00,-4.0,1018.7,90,320,2.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-03,11:00:00,-2.6,1019.1,87,320,2.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-03,12:00:00,-2.4,1019.5,85,310,4.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-03,13:00:00,-2.8,1019.9,83,320,3.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-03,14:00:00,-4.8,1020.5,85,310,2.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-03,15:00:00,-6.1,1020.9,88,320,2.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-03,16:00:00,-7.2,1021.5,92,320,1.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-03,17:00:00,-8.1,1021.9,95,300,1.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-03,18:00:00,-8.4,1022.2,93,290,1.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-03,19:00:00,-9.0,1022.6,95,260,1.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-03,20:00:00,-9.3,1022.9,94,0,0.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-03,21:00:00,-10.0,1022.9,94,0,0.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-03,22:00:00,-10.9,1023.2,92,0,0.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-03,23:00:00,-9.8,1023.4,92,160,1.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-04,00:00:00,-9.6,1023.1,92,160,1.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-04,01:00:00,-8.2,1023.1,92,0,0.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-04,02:00:00,-7.0,1023.0,94,170,1.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-04,03:00:00,-6.0,1022.9,95,170,1.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-04,04:00:00,-5.3,1022.3,95,160,1.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-04,05:00:00,-3.9,1021.5,94,210,3.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-04,06:00:00,-3.4,1021.0,93,210,3.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-04,07:00:00,-3.1,1020.4,93,200,4.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-04,08:00:00,-2.6,1020.1,91,200,3.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-04,09:00:00,-2.4,1019.5,90,210,3.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-04,10:00:00,-2.0,1019.0,91,220,4.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-04,11:00:00,-1.9,1018.0,91,230,3.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-04,12:00:00,-2.0,1017.4,91,210,4.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-04,13:00:00,-1.7,1016.8,93,240,4.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-04,14:00:00,-1.7,1016.1,95,210,3.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-04,15:00:00,-1.2,1015.6,95,230,4.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-04,16:00:00,-0.9,1014.9,94,230,3.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-04,17:00:00,-0.3,1013.8,94,230,6.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-04,18:00:00,0.6,1013.1,92,240,5.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-04,19:00:00,1.3,1012.4,90,250,4.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-04,20:00:00,2.0,1012.1,86,260,5.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-04,21:00:00,2.5,1011.5,82,250,4.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-04,22:00:00,3.4,1010.9,76,250,6.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-04,23:00:00,4.0,1010.3,74,260,6.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-05,00:00:00,3.6,1009.3,76,250,5.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-05,01:00:00,4.7,1008.6,70,240,5.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-05,02:00:00,2.9,1008.3,80,250,5.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-05,03:00:00,3.5,1007.9,77,250,6.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-05,04:00:00,3.6,1007.2,77,240,6.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-05,05:00:00,4.1,1007.1,74,250,6.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-05,06:00:00,5.0,1007.0,69,260,6.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-05,07:00:00,5.1,1007.0,69,250,8.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-05,08:00:00,5.6,1007.6,67,260,6.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-05,09:00:00,6.0,1008.5,65,280,6.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-05,10:00:00,5.3,1009.1,69,280,4.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-05,11:00:00,5.6,1009.1,68,290,6.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-05,12:00:00,4.9,1009.9,67,310,7.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-05,13:00:00,4.7,1010.7,57,330,6.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-05,14:00:00,3.5,1011.5,65,320,6.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-05,15:00:00,2.9,1012.3,63,310,6.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-05,16:00:00,2.7,1013.2,58,300,4.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-05,17:00:00,1.9,1013.5,62,310,5.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-05,18:00:00,1.0,1014.2,67,310,5.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-05,19:00:00,0.6,1014.8,67,310,4.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-05,20:00:00,0.2,1015.5,69,310,4.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-05,21:00:00,-0.4,1016.0,71,310,4.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-05,22:00:00,-0.8,1016.9,73,310,4.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-05,23:00:00,-1.2,1017.6,74,320,5.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-06,00:00:00,-1.5,1018.3,76,300,3.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-06,01:00:00,-1.3,1019.5,76,320,3.0
Uppsala Flygplats,97530,21.0,59.8953,17.5935,2016-12-06,02:00:00,-2.1,1020.5,80,320,4.0
