Station_name,Station_code,Height,Lat,Long,Date,Hour,Air Temp C,P (hPa),RH (%),Wind Direction DegC,Wind Speed (m/s)
Vastmarkum A,138070,141.392,63.1243,18.2518,2016-12-03,00:00:00,-13.6,1015.9,96,295,0.8
Vastmarkum A,138070,141.392,63.1243,18.2518,2016-12-03,01:00:00,-12.9,1015.8,94,296,1.0
Vastmarkum A,138070,141.392,63.1243,18.2518,2016-12-03,02:00:00,-12.7,1016.1,94,317,1.5
Vastmarkum A,138070,141.392,63.1243,18.2518,2016-12-03,03:00:00,-13.8,1016.5,93,295,1.2
Vastmarkum A,138070,141.392,63.1243,18.2518,2016-12-03,04:00:00,-14.0,1016.9,93,356,0.8
Vastmarkum A,138070,141.392,63.1243,18.2518,2016-12-03,05:00:00,-14.9,1017.2,91,0,0.0
Vastmarkum A,138070,141.392,63.1243,18.2518,2016-12-03,06:00:00,-15.1,1017.8,91,301,1.1
Vastmarkum A,138070,141.392,63.1243,18.2518,2016-12-03,07:00:00,-13.7,1018.1,94,294,1.3
Vastmarkum A,138070,141.392,63.1243,18.2518,2016-12-03,08:00:00,-15.7,1018.8,90,0,0.0
Vastmarkum A,138070,141.392,63.1243,18.2518,2016-12-03,09:00:00,-15.7,1019.4,89,301,0.9
Vastmarkum A,138070,141.392,63.1243,18.2518,2016-12-03,10:00:00,-12.8,1019.7,92,345,0.8
Vastmarkum A,138070,141.392,63.1243,18.2518,2016-12-03,11:00:00,-12.2,1019.8,93,275,0.9
Vastmarkum A,138070,141.392,63.1243,18.2518,2016-12-03,12:00:00,-10.9,1020.0,94,278,1.5
Vastmarkum A,138070,141.392,63.1243,18.2518,2016-12-03,13:00:00,-12.6,1020.3,92,264,1.1
Vastmarkum A,138070,141.392,63.1243,18.2518,2016-12-03,14:00:00,-13.5,1020.7,94,290,1.0
Vastmarkum A,138070,141.392,63.1243,18.2518,2016-12-03,15:00:00,-14.6,1021.1,92,303,1.3
Vastmarkum A,138070,141.392,63.1243,18.2518,2016-12-03,16:00:00,-15.5,1021.5,87,0,0.0
Vastmarkum A,138070,141.392,63.1243,18.2518,2016-12-03,17:00:00,-16.2,1021.7,91,302,0.9
Vastmarkum A,138070,141.392,63.1243,18.2518,2016-12-03,18:00:00,-16.8,1021.6,89,304,1.1
Vastmarkum A,138070,141.392,63.1243,18.2518,2016-12-03,19:00:00,-16.1,1021.7,90,316,1.1
Vastmarkum A,138070,141.392,63.1243,18.2518,2016-12-03,20:00:00,-16.5,1021.8,89,323,0.9
Vastmarkum A,138070,141.392,63.1243,18.2518,2016-12-03,21:00:00,-16.6,1021.6,89,319,0.9
Vastmarkum A,138070,141.392,63.1243,18.2518,2016-12-03,22:00:00,-16.3,1021.4,89,319,0.9
Vastmarkum A,138070,141.392,63.1243,18.2518,2016-12-03,23:00:00,-16.2,1021.2,89,321,0.8
Vastmarkum A,138070,141.392,63.1243,18.2518,2016-12-04,00:00:00,-15.8,1020.8,90,0,0.0
Vastmarkum A,138070,141.392,63.1243,18.2518,2016-12-04,01:00:00,-14.2,1020.0,90,0,0.0
