Station_name;Station_code;Height;Lat;Long;Date;Hour;Air Temp �C;P (hPa);RH (%);Wind Direction DegC;Wind Speed (m/s)
Härnösand;127380;17.655;626.364;179.214;2016-12-03;06:00:00;-9.4;nan;nan;nan;nan
Härnösand;127380;17.655;626.364;179.214;2016-12-03;18:00:00;-11.9;nan;nan;nan;nan
Härnösand;127380;17.655;626.364;179.214;2016-12-04;06:00:00;-2.4;nan;nan;nan;nan
Härnösand;127380;17.655;626.364;179.214;2016-12-04;18:00:00;5.4;nan;nan;nan;nan
Härnösand;127380;17.655;626.364;179.214;2016-12-05;06:00:00;5.3;nan;nan;nan;nan
Härnösand;127380;17.655;626.364;179.214;2016-12-05;18:00:00;2.1;nan;nan;nan;nan
Härnösand;127380;17.655;626.364;179.214;2016-12-06;06:00:00;-5.0;nan;nan;nan;nan
Härnösand;127380;17.655;626.364;179.214;2016-12-06;18:00:00;-2.3;nan;nan;nan;nan
Härnösand;127380;17.655;626.364;179.214;2016-12-07;06:00:00;0.2;nan;nan;nan;nan
Härnösand;127380;17.655;626.364;179.214;2016-12-07;18:00:00;-0.1;nan;nan;nan;nan
Härnösand;127380;17.655;626.364;179.214;2016-12-08;06:00:00;-1.1;nan;nan;nan;nan
Härnösand;127380;17.655;626.364;179.214;2016-12-08;18:00:00;-0.7;nan;nan;nan;nan
Härnösand;127380;17.655;626.364;179.214;2016-12-09;06:00:00;0.5;nan;nan;nan;nan
Härnösand;127380;17.655;626.364;179.214;2016-12-09;18:00:00;0.0;nan;nan;nan;nan
Härnösand;127380;17.655;626.364;179.214;2016-12-10;06:00:00;-6.4;nan;nan;nan;nan
Härnösand;127380;17.655;626.364;179.214;2016-12-10;18:00:00;-12.2;nan;nan;nan;nan
Härnösand;127380;17.655;626.364;179.214;2016-12-11;06:00:00;-7.9;nan;nan;nan;nan
Härnösand;127380;17.655;626.364;179.214;2016-12-11;18:00:00;-12.4;nan;nan;nan;nan
Härnösand;127380;17.655;626.364;179.214;2016-12-12;06:00:00;-9.3;nan;nan;nan;nan
Härnösand;127380;17.655;626.364;179.214;2016-12-12;18:00:00;-10.5;nan;nan;nan;nan
Gävle A;107420;16.125;607.161;171.607;2016-12-03;00:00:00;-4.0;nan;90;225;0.7
Gävle A;107420;16.125;607.161;171.607;2016-12-03;01:00:00;-3.6;nan;88;226;0.9
Gävle A;107420;16.125;607.161;171.607;2016-12-03;02:00:00;-3.3;nan;90;0;0.0
Gävle A;107420;16.125;607.161;171.607;2016-12-03;03:00:00;-2.5;nan;87;225;0.9
Gävle A;107420;16.125;607.161;171.607;2016-12-03;04:00:00;-2.5;nan;88;294;0.9
Gävle A;107420;16.125;607.161;171.607;2016-12-03;05:00:00;-2.1;nan;88;330;1.0
Gävle A;107420;16.125;607.161;171.607;2016-12-03;06:00:00;-1.9;nan;87;335;1.5
Gävle A;107420;16.125;607.161;171.607;2016-12-03;07:00:00;-2.1;nan;87;318;1.9
Gävle A;107420;16.125;607.161;171.607;2016-12-03;08:00:00;-3.1;nan;92;335;1.9
Gävle A;107420;16.125;607.161;171.607;2016-12-03;09:00:00;-2.7;nan;88;320;3.0
Gävle A;107420;16.125;607.161;171.607;2016-12-03;10:00:00;-2.2;nan;82;336;2.9
Gävle A;107420;16.125;607.161;171.607;2016-12-03;11:00:00;-1.6;nan;80;326;2.8
Gävle A;107420;16.125;607.161;171.607;2016-12-03;12:00:00;-1.7;nan;83;334;3.0
Gävle A;107420;16.125;607.161;171.607;2016-12-03;13:00:00;-2.1;nan;82;341;1.4
Gävle A;107420;16.125;607.161;171.607;2016-12-03;14:00:00;-4.3;nan;90;0;0.0
Gävle A;107420;16.125;607.161;171.607;2016-12-03;15:00:00;-6.2;nan;94;0;0.0
Gävle A;107420;16.125;607.161;171.607;2016-12-03;16:00:00;-7.2;nan;95;0;0.0
Gävle A;107420;16.125;607.161;171.607;2016-12-03;17:00:00;-7.8;nan;95;0;0.0
Gävle A;107420;16.125;607.161;171.607;2016-12-03;18:00:00;-8.4;nan;94;0;0.0
Gävle A;107420;16.125;607.161;171.607;2016-12-03;19:00:00;-8.6;nan;93;0;0.0
Gävle A;107420;16.125;607.161;171.607;2016-12-03;20:00:00;-8.9;nan;93;0;0.0
Gävle A;107420;16.125;607.161;171.607;2016-12-03;21:00:00;-9.0;nan;94;0;0.0
Gävle A;107420;16.125;607.161;171.607;2016-12-03;22:00:00;-8.8;nan;93;0;0.0
Gävle A;107420;16.125;607.161;171.607;2016-12-03;23:00:00;-8.1;nan;94;0;0.0
Gävle A;107420;16.125;607.161;171.607;2016-12-04;00:00:00;-6.3;nan;94;184;0.6
Gävle A;107420;16.125;607.161;171.607;2016-12-04;01:00:00;-5.4;nan;93;174;1.0
Gävle A;107420;16.125;607.161;171.607;2016-12-04;02:00:00;-4.6;nan;92;175;1.3
Gävle A;107420;16.125;607.161;171.607;2016-12-04;03:00:00;-3.6;nan;96;189;2.2
Gävle A;107420;16.125;607.161;171.607;2016-12-04;04:00:00;-2.7;nan;96;194;3.4
